Name,Color.hex,Palette
MoteBlue,#0054a6,Mote1
MoteDarkBlue,#023f88,Mote1
MotePowderBlue,#4a83c4,Mote1
MoteLightBlue,#badef5,Mote1
MoteSeafoamWhite,#f4f4f4,Mote1
MoteBrightBlue,#00aae7,Mote2
MoteCoral,#f37163,Mote2
MoteManateeGray,#b1b3b3,Mote2
MoteSharkGray,#63666a,Mote2
MoteBlack,#000000,Mote2
MoteGobyRed,#d2232a,Mote3
MoteStaghorn,#ca581f,Mote3
MoteBuoyOrange,#f26522,Mote3
MoteSnookYellow,#ebcc00,Mote3
MoteSeagrassGreen,#85b034,Mote3
MoteMangroveGreen,#007b41,Mote3
MoteEstuaryGreen,#638a63,Mote3
MoteTurquoiseBay,#00ae9d,Mote3
MoteGulfTeal,#00798c,Mote3
MoteAbyssalBlue,#003041,Mote3
MoteDeepPurple,#352f6d,Mote3
MoteAnemone,#78779e,Mote3
MoteCuttlefishPink,#ca879e,Mote3
MoteSandbarBeige,#c6b8a6,Mote3
MoteOtterBrown,#6d5849,Mote3
